Zip Code,DMA,Country,Population
52134,"Rochester-Mason City-Austin,IA","HOWARD, IA",376
52135,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"FAYETTE, IA",707
52136,"Rochester-Mason City-Austin,IA","HOWARD, IA",5886
52140,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"ALLAMAKEE, IA",603
52141,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"FAYETTE, IA",1555
52142,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"FAYETTE, IA",1668
52144,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"WINNESHIEK, IA",1393
52146,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"ALLAMAKEE, IA",927
52147,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"FAYETTE, IA",1205
52151,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"ALLAMAKEE, IA",1744
52154,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"CHICKASAW, IA",862
52155,"Rochester-Mason City-Austin,IA","HOWARD, IA",1232
52156,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"CLAYTON, IA",644
52157,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"CLAYTON, IA",1814
52159,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"CLAYTON, IA",2253
52160,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"ALLAMAKEE, IA",1028
52161,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"WINNESHIEK, IA",1589
52162,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"ALLAMAKEE, IA",3529
52163,"Rochester-Mason City-Austin,IA","HOWARD, IA",260
52164,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"FAYETTE, IA",265
52165,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"WINNESHIEK, IA",693
52169,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"FAYETTE, IA",368
52170,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"ALLAMAKEE, IA",470
52171,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"FAYETTE, IA",886
52172,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"ALLAMAKEE, IA",5901
52175,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"FAYETTE, IA",3604
52201,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"WASHINGTON, IA",1484
52202,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"LINN NORTH, IA",986
52203,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"IOWA, IA",1957
52205,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"JONES, IA",8902
52206,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"BENTON, IA",2500
52207,Davenport IA-Rock Island-Moline IL,"JACKSON, IA",417
52208,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"BENTON, IA",3133
52209,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"BENTON, IA",1213
52210,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"BUCHANAN, IA",692
52211,Des Moines-Ames IA,"POWESHIEK, IA",2371
52212,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"JONES, IA",160
52213,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"LINN NORTH, IA",4074
52214,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"LINN NORTH, IA",3842
52215,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"TAMA, IA",692
52216,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"CEDAR, IA",1378
52217,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"TAMA, IA",546
52218,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"LINN NORTH, IA",1667
52219,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"LINN NORTH, IA",171
52221,Des Moines-Ames IA,"POWESHIEK, IA",240
52222,Des Moines-Ames IA,"POWESHIEK, IA",507
52223,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"DELAWARE, IA",1318
52224,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"TAMA, IA",1919
52225,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"TAMA, IA",315
52227,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"LINN SOUTH, IA",3174
52228,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"LINN SOUTH, IA",3324
52229,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"BENTON, IA",839
52231,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"KEOKUK, IA",189
52232,Des Moines-Ames IA,"POWESHIEK, IA",202
52233,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"LINN NORTH, IA",7131
